method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
ours,21,176.0,50,0,0.6735392915198877,0.6735392915198877,2,0.6735392915198877,0.6735392915198877,2
ours,21,176.0,47,28,0.4211470580312995,0.4211470580312995,1,0.4211470580312995,0.4211470580312995,1
ours,21,176.0,64,36,0.7329801572763996,0.6386317888088976,7,0.6175687197648113,0.4171821382342933,7
ours,21,177.0,34,84,0.7309059287487082,0.5188413468843036,5,0.7212871182795524,0.5188413468843036,5
ours,21,177.0,33,39,0.6810938868022253,0.6232796442327836,4,0.6490566841506173,0.6232796442327836,4
ours,21,177.0,53,86,0.5809371237757024,0.5809371237757024,2,0.5809371237757024,0.5809371237757024,2
ours,21,177.0,30,0,0.7615289183803077,0.7161968392572006,3,0.7615289183803077,0.7161968392572006,3
ours,21,177.0,53,4,0.6122359905399519,0.5809371237757024,3,0.6122359905399519,0.5809371237757024,3
ours,21,178.0,1,3,0.8053386443768279,0.7629676445363103,3,0.8053386443768279,0.7629676445363103,3
ours,21,178.0,19,47,0.3616014545038845,0.3616014545038845,1,0.3616014545038845,0.3616014545038845,1
ours,21,178.0,66,94,0.7549609552157797,0.698641891894998,5,0.7523774660540334,0.698641891894998,5
ours,21,178.0,76,40,0.7250345900430012,0.5423261716897408,5,0.7250345900430012,0.5423261716897408,5
ours,21,178.0,42,21,0.7151054019102308,0.687097897529871,5,0.7151054019102308,0.687097897529871,5
ours,21,179.0,73,55,0.7620273657384207,0.7523540438827778,2,0.7620273657384207,0.7523540438827778,2
ours,21,179.0,30,71,0.7493704451106397,0.6483442500583738,7,0.4105391210268383,0.17818736420104908,4
ours,21,179.0,78,82,0.603885743025776,0.3271272449221867,4,0.5717279254426273,0.3271272449221867,4
ours,21,179.0,50,6,0.8053755730822949,0.7783523170645386,4,0.8053755730822949,0.7783523170645386,4
ours,21,179.0,73,54,0.7152554795990765,0.6231381268218779,9,0.4865534746712571,0.2134845620795882,5
ours,21,180.0,49,93,0.7244691340340784,0.6877680669215421,7,0.6724132975902251,0.5920891201746715,7
